ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,ADDRESSLINE1,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PHONE
10312,35,53.72,6,1880.2,2019-10-21,1113,Shipped,Vintage Cars,S18_2957,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450
10322,41,29.87,13,1224.67,2019-11-04,1100,Shipped,Vintage Cars,S18_2957,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Small,6035558647
10332,26,114.58,17,2979.08,2019-11-17,1088,Shipped,Vintage Cars,S18_2957,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Small,(171) 555-1555
10347,34,64.96,10,2208.64,2019-11-29,1077,Shipped,Vintage Cars,S18_2957,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Small,03 9520 4555
10357,49,70.58,5,3458.42,2019-12-10,1067,Shipped,Vintage Cars,S18_2957,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450
10369,28,44.21,6,1237.88,2020-01-20,1027,Shipped,Vintage Cars,S18_2957,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA,Nelson,Allen,Small,6175558555
10392,37,59.96,3,2218.52,2020-03-10,978,Shipped,Vintage Cars,S18_2957,Mini Auto Werke,Kirchgasse 6,Graz,Austria,Mendel,Roland,Small,7675-3555
10423,31,53.72,3,1665.32,2020-05-30,898,In Process,Vintage Cars,S18_2957,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey,Catherine,Small,(02) 5554 67
10106,41,83.44,18,3421.04,2018-02-17,1732,Shipped,Ships,S18_3029,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Medium,035-640555
10119,21,89.46,9,1878.66,2018-04-28,1663,Shipped,Ships,S18_3029,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps,Georg,Small,6562-9555
10130,40,96.34,2,3853.6,2018-06-16,1615,Shipped,Ships,S18_3029,Auto-Moto Classics Inc.,16780 Pompton St.,Brickhaven,USA,Taylor,Leslie,Medium,6175558428
10143,46,74.84,13,3442.64,2018-08-10,1561,Shipped,Ships,S18_3029,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Medium,5085559555
10155,44,79.14,11,3482.16,2018-10-06,1505,Shipped,Ships,S18_3029,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Medium,90-224 8555
10167,46,73.12,7,3363.52,2018-10-23,1489,Cancelled,Ships,S18_3029,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson,Maria,Medium,0695-34 6555
10178,41,81.72,10,3350.52,2018-11-08,1474,Shipped,Ships,S18_3029,Alpha Cognac,1 rue Alsace-Lorraine,Toulouse,France,Roulet,Annette,Medium,61.77.6555
10186,32,89.46,7,2862.72,2018-11-14,1469,Shipped,Ships,S18_3029,"Double Decker Gift Stores, Ltd",120 Hanover Sq.,London,UK,Hardy,Thomas,Small,(171) 555-7555
10197,46,87.74,4,4036.04,2018-11-26,1458,Shipped,Ships,S18_3029,Enaco Distributors,"Rambla de Catalu¤a, 23",Barcelona,Spain,Saavedra,Eduardo,Medium,(93) 203 4555
10222,49,94.62,10,4636.38,2019-02-19,1374,Shipped,Ships,S18_3029,Collectable Mini Designs Co.,361 Furth Circle,San Diego,USA,Thompson,Valarie,Medium,7605558146
10248,21,73.98,1,1553.58,2019-05-07,1298,Cancelled,Ships,S18_3029,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Small,2125557818
10262,32,84.3,15,2697.6,2019-06-24,1251,Cancelled,Ships,S18_3029,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44
10273,34,98.06,2,3334.04,2019-07-21,1225,Shipped,Ships,S18_3029,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey,Catherine,Medium,(02) 5554 67
10283,21,98.06,4,2059.26,2019-08-20,1196,Shipped,Ships,S18_3029,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,Canada,Lincoln,Elizabeth,Small,(604) 555-4555
10296,21,96.34,13,2023.14,2019-09-15,1171,Shipped,Ships,S18_3029,"Bavarian Collectables Imports, Co.",Hansastr. 15,Munich,Germany,Donnermeyer,Michael,Small,+49 89 61 08 9555
10307,31,83.44,7,2586.64,2019-10-14,1143,Shipped,Ships,S18_3029,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes,Francisca,Small,2155554695
10316,21,94.62,15,1987.02,2019-11-01,1126,Shipped,Ships,S18_3029,giftsbymail.co.uk,Garden House Crowther Way,Cowes,UK,Bennett,Helen,Small,(198) 555-8888
10327,25,45.86,5,1146.5,2019-11-10,1118,Resolved,Ships,S18_3029,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen,Jytte,Small,31 12 3555
10338,28,82.58,3,2312.24,2019-11-22,1107,Shipped,Ships,S18_3029,Royale Belge,"Boulevard Tirou, 255",Charleroi,Belgium,Cartrain,Pascale,Small,(071) 23 67 2555
10350,43,64.97,6,2793.71,2019-12-02,1098,Shipped,Ships,S18_3029,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44
10373,22,86.74,5,1908.28,2020-01-31,1039,Shipped,Ships,S18_3029,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo,Pirkko,Small,981-443655
10386,37,93.01,5,3441.37,2020-03-01,1010,Resolved,Ships,S18_3029,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10398,28,72.26,18,2023.28,2020-03-30,982,Shipped,Ships,S18_3029,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Small,26.47.1555
10400,30,74.84,7,2245.2,2020-04-01,981,Shipped,Ships,S18_3029,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Small,4085553659
10414,44,73.98,1,3255.12,2020-05-06,947,On Hold,Ships,S18_3029,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA,Yoshido,Juri,Medium,6175559555
10103,25,101.58,13,2539.5,2018-01-29,1776,Shipped,Vintage Cars,S18_3136,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Small,07-98 9555
10126,30,97.39,13,2921.7,2018-05-28,1658,Shipped,Vintage Cars,S18_3136,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer,Mart¡n,Small,(91) 555 22 82
10139,20,90.06,2,1801.2,2018-07-16,1610,Shipped,Vintage Cars,S18_3136,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Small,+61 2 9495 8555
10150,26,107.86,10,2804.36,2018-09-19,1546,Shipped,Vintage Cars,S18_3136,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Small,+65 221 7555
10163,40,122.52,3,4900.8,2018-10-20,1516,Shipped,Vintage Cars,S18_3136,Classic Legends Inc.,5905 Pompton St.,NYC,USA,Hernandez,Maria,Medium,2125558493
10173,31,89.01,1,2759.31,2018-11-05,1501,Shipped,Vintage Cars,S18_3136,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Small,035-640555
10183,22,113.1,10,2488.2,2018-11-13,1494,Shipped,Vintage Cars,S18_3136,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes,Francisca,Small,2155554695
10193,23,120.43,2,2769.89,2018-11-21,1487,Shipped,Vintage Cars,S18_3136,"Australian Collectables, Ltd",7 Allen Street,Glen Waverly,Australia,Connery,Sean,Small,61-9-3844-6555
10206,30,119.38,8,3581.4,2018-12-05,1474,Shipped,Vintage Cars,S18_3136,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,Tannamuri,Yoshi,Medium,(604) 555-3392
10215,49,107.86,5,5285.14,2019-01-29,1420,Shipped,Vintage Cars,S18_3136,West Coast Collectables Co.,3675 Furth Circle,Burbank,USA,Thompson,Steve,Medium,3105553722
10228,31,102.63,4,3181.53,2019-03-10,1381,Shipped,Vintage Cars,S18_3136,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,USA,Tseng,Kyung,Medium,6175555555
10244,29,115.19,2,3340.51,2019-04-29,1332,Shipped,Vintage Cars,S18_3136,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10257,37,84.82,2,3138.34,2019-06-14,1287,Shipped,Vintage Cars,S18_3136,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Medium,4085553659
10270,38,125.66,11,4775.08,2019-07-19,1253,Shipped,Vintage Cars,S18_3136,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Medium,+61 2 9495 8555
10280,29,103.67,4,3006.43,2019-08-17,1225,Shipped,Vintage Cars,S18_3136,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti,Paolo,Medium,011-4988555
10291,23,124.62,13,2866.26,2019-09-08,1204,Shipped,Vintage Cars,S18_3136,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson,Maria,Small,0695-34 6555
10304,26,85.87,8,2232.62,2019-10-11,1172,Shipped,Vintage Cars,S18_3136,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France,Tonini,Daniel,Small,30.59.8555
10312,38,117.29,5,4457.02,2019-10-21,1163,Shipped,Vintage Cars,S18_3136,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450
10322,48,47.04,7,2257.92,2019-11-04,1150,Shipped,Vintage Cars,S18_3136,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Small,6035558647
10332,40,39.8,18,1592.0,2019-11-17,1138,Shipped,Vintage Cars,S18_3136,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Small,(171) 555-1555
10347,45,109.96,11,4948.2,2019-11-29,1127,Shipped,Vintage Cars,S18_3136,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium,03 9520 4555
10357,44,117.29,4,5160.76,2019-12-10,1117,Shipped,Vintage Cars,S18_3136,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450
10369,21,94.22,5,1978.62,2020-01-20,1077,Shipped,Vintage Cars,S18_3136,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA,Nelson,Allen,Small,6175558555
10392,29,86.92,2,2520.68,2020-03-10,1028,Shipped,Vintage Cars,S18_3136,Mini Auto Werke,Kirchgasse 6,Graz,Austria,Mendel,Roland,Small,7675-3555
10423,21,84.82,2,1781.22,2020-05-30,948,In Process,Vintage Cars,S18_3136,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey,Catherine,Small,(02) 5554 67
10105,22,139.32,11,3065.04,2018-02-11,1788,Shipped,Vintage Cars,S18_3140,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen,Jytte,Medium,31 12 3555
10117,26,136.59,5,3551.34,2018-04-16,1725,Shipped,Vintage Cars,S18_3140,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Medium,+65 221 7555
10128,41,135.22,2,5544.02,2018-06-06,1675,Shipped,Vintage Cars,S18_3140,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10142,47,128.39,8,6034.33,2018-08-08,1613,Shipped,Vintage Cars,S18_3140,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450
10153,31,117.47,7,3641.57,2018-09-28,1563,Shipped,Vintage Cars,S18_3140,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10166,43,161.18,2,6930.74,2018-10-21,1541,Shipped,Vintage Cars,S18_3140,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez,Violeta,Medium,5085552555
10177,23,159.81,9,3675.63,2018-11-07,1525,Shipped,Vintage Cars,S18_3140,CAF Imports,"Merchants House, 27-30 Merchant's Quay",Madrid,Spain,Fernandez,Jesus,Medium,+34 913 728 555
10185,28,122.93,9,3442.04,2018-11-14,1519,Shipped,Vintage Cars,S18_3140,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Medium,5085559555
10196,49,140.69,1,6893.81,2018-11-26,1508,Shipped,Vintage Cars,S18_3140,Super Scale Inc.,567 North Pendale Street,New Haven,USA,Murphy,Leslie,Medium,2035559545
10208,24,109.27,9,2622.48,2019-01-02,1472,Shipped,Vintage Cars,S18_3140,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley,Mary,Small,78.32.5555
10221,33,133.86,3,4417.38,2019-02-18,1426,Shipped,Vintage Cars,S18_3140,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey,Catherine,Medium,(02) 5554 67
10232,22,163.91,6,3606.02,2019-03-20,1397,Shipped,Vintage Cars,S18_3140,giftsbymail.co.uk,Garden House Crowther Way,Cowes,UK,Bennett,Helen,Medium,(198) 555-8888
10248,32,118.83,12,3802.56,2019-05-07,1350,Cancelled,Vintage Cars,S18_3140,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium,2125557818
10273,40,125.66,13,5026.4,2019-07-21,1276,Shipped,Vintage Cars,S18_3140,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey,Catherine,Medium,(02) 5554 67
10282,43,155.71,1,6695.53,2019-08-20,1247,Shipped,Vintage Cars,S18_3140,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450
10293,24,117.47,4,2819.28,2019-09-09,1228,Shipped,Vintage Cars,S18_3140,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti,Paolo,Small,011-4988555
10306,32,117.47,9,3759.04,2019-10-14,1194,Shipped,Vintage Cars,S18_3140,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Medium,(171) 555-1555
10314,20,136.59,1,2731.8,2019-10-22,1187,Shipped,Vintage Cars,S18_3140,Heintze Collectables,Smagsloget 45,Aaarhus,Denmark,Ibsen,Palle,Small,86 21 3555
10325,24,69.12,9,1658.88,2019-11-05,1174,Shipped,Vintage Cars,S18_3140,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Small,07-98 9555
10336,48,120.38,12,5778.24,2019-11-20,1160,Shipped,Vintage Cars,S18_3140,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,France,Bertrand,Marie,Medium,(1) 42.34.2555
10350,44,117.98,1,5191.12,2019-12-02,1149,Shipped,Vintage Cars,S18_3140,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10372,28,137.96,3,3862.88,2020-01-26,1095,Shipped,Vintage Cars,S18_3140,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura,Akiko,Medium,+81 3 3584 0555
10383,24,61.52,9,1476.48,2020-02-22,1069,Shipped,Vintage Cars,S18_3140,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44
10396,33,159.81,2,5273.73,2020-03-23,1040,Shipped,Vintage Cars,S18_3140,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450
10414,41,118.83,12,4872.03,2020-05-06,997,On Hold,Vintage Cars,S18_3140,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA,Yoshido,Juri,Medium,6175559555
10104,23,198.13,13,4556.99,2018-01-31,1824,Shipped,Classic Cars,S18_3232,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10109,46,179.5,5,8257.0,2018-03-10,1787,Shipped,Classic Cars,S18_3232,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez,Rosa,Large,2155559857
10114,48,171.03,4,8209.44,2018-04-01,1766,Shipped,Classic Cars,S18_3232,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,France,Bertrand,Marie,Large,(1) 42.34.2555
10122,25,143.94,3,3598.5,2018-05-08,1730,Shipped,Classic Cars,S18_3232,Marseille Mini Autos,"12, rue des Bouchers",Marseille,France,Lebihan,Laurence,Medium,91.24.4555
10127,22,174.42,15,3837.24,2018-06-03,1705,Shipped,Classic Cars,S18_3232,Muscle Machine Inc,4092 Furth Circle,NYC,USA,Young,Jeff,Medium,2125557413
10136,41,203.21,3,8331.61,2018-07-04,1675,Shipped,Classic Cars,S18_3232,Alpha Cognac,1 rue Alsace-Lorraine,Toulouse,France,Roulet,Annette,Large,61.77.6555
10141,34,142.25,9,4836.5,2018-08-01,1648,Shipped,Classic Cars,S18_3232,Suominen Souveniers,"Software Engineering Center, SEC Oy",Espoo,Finland,Suominen,Kalle,Medium,+358 9 8045 555
10148,32,169.34,14,5418.88,2018-09-11,1608,Shipped,Classic Cars,S18_3232,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara,Anna,Medium,02 9936 8555
10151,21,177.81,7,3734.01,2018-09-21,1599,Shipped,Classic Cars,S18_3232,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo,Pirkko,Medium,981-443655
10165,47,186.27,16,8754.69,2018-10-22,1569,Shipped,Classic Cars,S18_3232,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Large,+65 221 7555
10171,39,140.55,3,5481.45,2018-11-05,1556,Shipped,Classic Cars,S18_3232,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada,Fresnisre,Jean,Medium,(514) 555-8054
10175,29,152.41,5,4419.89,2018-11-06,1556,Shipped,Classic Cars,S18_3232,"Stylish Desk Decors, Co.",35 King George,London,UK,Brown,Ann,Medium,(171) 555-0297
10181,45,140.55,7,6324.75,2018-11-12,1551,Shipped,Classic Cars,S18_3232,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Medium,+47 2267 3215
10184,28,157.49,10,4409.72,2018-11-14,1550,Shipped,Classic Cars,S18_3232,"Iberia Gift Imports, Corp.","C/ Romero, 33",Sevilla,Spain,Roel,Jose Pedro,Medium,(95) 555 82 82
10192,26,150.71,12,3918.46,2018-11-20,1545,Shipped,Classic Cars,S18_3232,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Medium,6035558647
10195,50,152.41,10,7620.5,2018-11-25,1541,Shipped,Classic Cars,S18_3232,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick,Steve,Large,9145554562
10203,48,172.73,1,8291.04,2018-12-02,1535,Shipped,Classic Cars,S18_3232,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large,(91) 555 94 44
10207,25,157.49,11,3937.25,2018-12-09,1529,Shipped,Classic Cars,S18_3232,Diecast Collectables,6251 Ingle Ln.,Boston,USA,Franco,Valarie,Medium,6175552555
10212,40,138.86,11,5554.4,2019-01-16,1492,Shipped,Classic Cars,S18_3232,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10225,43,149.02,2,6407.86,2019-02-22,1456,Shipped,Classic Cars,S18_3232,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,Switzerland,Holz,Michael,Medium,0897-034555
10229,22,189.66,5,4172.52,2019-03-11,1440,Shipped,Classic Cars,S18_3232,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450
10239,47,150.71,1,7083.37,2019-04-12,1409,Shipped,Classic Cars,S18_3232,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo,Pirkko,Large,981-443655
10246,36,198.13,9,7132.68,2019-05-05,1387,Shipped,Classic Cars,S18_3232,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large,(91) 555 94 44
10253,40,169.34,6,6773.6,2019-06-01,1361,Cancelled,Classic Cars,S18_3232,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon,Elizabeth,Medium,(171) 555-2282
10259,27,135.47,8,3657.69,2019-06-15,1348,Shipped,Classic Cars,S18_3232,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino,Wendy,Medium,+65 224 1555
10266,29,165.95,7,4812.55,2019-07-06,1328,Shipped,Classic Cars,S18_3232,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni,Maurizio,Medium,0522-556555
10271,20,196.43,9,3928.6,2019-07-20,1315,Shipped,Classic Cars,S18_3232,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450
10278,42,152.41,7,6401.22,2019-08-06,1299,Shipped,Classic Cars,S18_3232,Signal Gift Stores,8489 Strong St.,Las Vegas,USA,King,Sue,Medium,7025551838
10281,25,167.65,5,4191.25,2019-08-19,1287,Shipped,Classic Cars,S18_3232,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu,Kyung,Medium,2155551555
10287,36,162.57,5,5852.52,2019-08-30,1277,Shipped,Classic Cars,S18_3232,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,Switzerland,Holz,Michael,Medium,0897-034555
10292,21,135.47,12,2844.87,2019-09-08,1269,Shipped,Classic Cars,S18_3232,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Small,2125557818
10301,23,174.42,9,4011.66,2018-10-05,1608,Shipped,Classic Cars,S18_3232,"Norway Gifts By Mail, Co.","Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,Klaeboe,Jan,Medium,+47 2212 1555
10305,37,201.51,9,7455.87,2019-10-13,1236,Shipped,Classic Cars,S18_3232,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Large,6175558555
10310,48,186.27,3,8940.96,2019-10-16,1234,Shipped,Classic Cars,S18_3232,"Toms Spezialitten, Ltd",Mehrheimerstr. 369,Koln,Germany,Pfalzheim,Henriette,Large,0221-5554327
10313,25,182.89,3,4572.25,2019-10-22,1229,Shipped,Classic Cars,S18_3232,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,Tannamuri,Yoshi,Medium,(604) 555-3392
10321,33,172.73,11,5700.09,2019-11-04,1217,Shipped,Classic Cars,S18_3232,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez,Violeta,Medium,5085552555
10324,27,116.87,12,3155.49,2019-11-05,1217,Shipped,Classic Cars,S18_3232,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA,Frick,Michael,Medium,2125551500
10331,27,154.47,11,4170.69,2019-11-17,1206,Shipped,Classic Cars,S18_3232,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez,Rosa,Medium,2155559857
10334,20,143.94,3,2878.8,2019-11-19,1205,On Hold,Classic Cars,S18_3232,"Volvo Model Replicas, Co",Berguvsvgen  8,Lule,Sweden,Berglund,Christina,Small,0921-12 3555
10342,30,167.65,4,5029.5,2019-11-24,1201,Shipped,Classic Cars,S18_3232,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium,03 9520 4555
10349,48,154.1,6,7396.8,2019-12-01,1195,Shipped,Classic Cars,S18_3232,Muscle Machine Inc,4092 Furth Circle,NYC,USA,Young,Jeff,Large,2125557413
10358,32,93.49,12,2991.68,2019-12-10,1187,Shipped,Classic Cars,S18_3232,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44
10366,34,184.58,1,6275.72,2020-01-10,1157,Shipped,Classic Cars,S18_3232,Royale Belge,"Boulevard Tirou, 255",Charleroi,Belgium,Cartrain,Pascale,Medium,(071) 23 67 2555
10370,27,56.85,9,1534.95,2020-01-20,1148,Shipped,Classic Cars,S18_3232,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara,Anna,Small,02 9936 8555
10377,39,186.27,3,7264.53,2020-02-09,1129,Shipped,Classic Cars,S18_3232,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Large,90-224 8555
10383,47,146.15,6,6869.05,2020-02-22,1117,Shipped,Classic Cars,S18_3232,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10394,22,152.41,5,3353.02,2020-03-15,1096,Shipped,Classic Cars,S18_3232,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10405,55,150.71,1,8289.05,2020-04-14,1067,Shipped,Classic Cars,S18_3232,Mini Caravy,"24, place Kluber",Strasbourg,France,Citeaux,Frederique,Large,88.60.1555
10412,60,198.13,9,11887.8,2020-05-03,1049,Shipped,Classic Cars,S18_3232,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large,(91) 555 94 44
10419,35,169.34,6,5926.9,2020-05-17,1036,Shipped,Classic Cars,S18_3232,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps,Georg,Medium,6562-9555
10425,28,135.47,8,3793.16,2020-05-31,1023,In Process,Classic Cars,S18_3232,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,40.67.8555
10105,38,113.95,13,4330.1,2018-02-11,1864,Shipped,Trains,S18_3259,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen,Jytte,Medium,31 12 3555
10117,21,95.8,7,2011.8,2018-04-16,1801,Shipped,Trains,S18_3259,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Small,+65 221 7555
10128,41,117.98,4,4837.18,2018-06-06,1751,Shipped,Trains,S18_3259,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10142,22,97.81,10,2151.82,2018-08-08,1689,Shipped,Trains,S18_3259,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450
10153,29,88.74,9,2573.46,2018-09-28,1639,Shipped,Trains,S18_3259,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44
10165,50,106.89,1,5344.5,2018-10-22,1616,Shipped,Trains,S18_3259,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Medium,+65 221 7555
