ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,ADDRESSLINE1,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PHONE,MSRP,POSTALCODE
10375,49,110.34,8,5406.66,2020-02-03,2500,Shipped,Motorcycles,S50_4713,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,40.67.8555,81,44000
10390,22,158.69,13,3491.18,2020-03-04,2471,Shipped,Motorcycles,S50_4713,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,81,97562
10403,31,68.34,3,2118.54,2020-04-08,2437,Shipped,Motorcycles,S50_4713,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon,Elizabeth,Small,(171) 555-2282,81,WX1 6LT
10105,41,70.67,5,2897.47,2018-02-11,3225,Shipped,Ships,S700_1138,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen,Jytte,Small,31 12 3555,66,1734
10119,25,76.67,14,1916.75,2018-04-28,3150,Shipped,Ships,S700_1138,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps,Georg,Small,6562-9555,66,5020
10129,31,60.0,5,1860.0,2018-06-12,3106,Shipped,Ships,S700_1138,"Stylish Desk Decors, Co.",35 King George,London,UK,Brown,Ann,Small,(171) 555-0297,66,WX3 6FW
10142,41,64.0,2,2624.0,2018-08-08,3050,Shipped,Ships,S700_1138,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,66,97562
10153,43,64.67,1,2780.81,2018-09-28,3000,Shipped,Ships,S700_1138,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,66,28034
10167,43,75.34,12,3239.62,2018-10-23,2976,Cancelled,Ships,S700_1138,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson,Maria,Medium,0695-34 6555,66,S-844 67
10177,24,76.0,3,1824.0,2018-11-07,2962,Shipped,Ships,S700_1138,CAF Imports,"Merchants House, 27-30 Merchant's Quay",Madrid,Spain,Fernandez,Jesus,Small,+34 913 728 555,66,28023
10185,21,54.0,3,1134.0,2018-11-14,2956,Shipped,Ships,S700_1138,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Small,5085559555,66,50553
10197,23,64.67,9,1487.41,2018-11-26,2945,Shipped,Ships,S700_1138,Enaco Distributors,"Rambla de Catalu¤a, 23",Barcelona,Spain,Saavedra,Eduardo,Small,(93) 203 4555,66,8022
10208,38,74.67,3,2837.46,2019-01-02,2909,Shipped,Ships,S700_1138,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley,Mary,Small,78.32.5555,66,69004
10222,31,62.67,15,1942.77,2019-02-19,2862,Shipped,Ships,S700_1138,Collectable Mini Designs Co.,361 Furth Circle,San Diego,USA,Thompson,Valarie,Small,7605558146,66,91217
10233,36,70.67,3,2544.12,2019-03-29,2825,Shipped,Ships,S700_1138,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown,William,Small,2015559350,66,94019
10248,36,71.34,6,2568.24,2019-05-07,2787,Cancelled,Ships,S700_1138,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Small,2125557818,66,10022
10261,34,62.0,4,2108.0,2019-06-17,2747,Shipped,Ships,S700_1138,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada,Fresnisre,Jean,Small,(514) 555-8054,66,H1J 1C3
10273,21,65.34,7,1372.14,2019-07-21,2714,Shipped,Ships,S700_1138,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey,Catherine,Small,(02) 5554 67,66,B-1180
10283,45,78.67,9,3540.15,2019-08-20,2685,Shipped,Ships,S700_1138,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,Canada,Lincoln,Elizabeth,Medium,(604) 555-4555,66,T2F 8M4
10295,26,75.34,4,1958.84,2019-09-10,2665,Shipped,Ships,S700_1138,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA,Yoshido,Juri,Small,6175559555,66,51003
10306,50,54.0,3,2700.0,2019-10-14,2632,Shipped,Ships,S700_1138,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Small,(171) 555-1555,66,EC2 5NT
10315,41,62.0,2,2542.0,2019-10-29,2618,Shipped,Ships,S700_1138,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Small,40.67.8555,66,44000
10326,39,60.0,1,2340.0,2019-11-09,2608,Shipped,Ships,S700_1138,"Volvo Model Replicas, Co",Berguvsvgen  8,Lule,Sweden,Berglund,Christina,Small,0921-12 3555,66,S-958 22
10339,22,128.02,5,2816.44,2019-11-23,2595,Shipped,Ships,S700_1138,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura,Akiko,Small,+81 3 3584 0555,66,106-0032
10350,46,76.67,11,3526.82,2019-12-02,2587,Shipped,Ships,S700_1138,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,66,28034
10373,44,105.18,14,4627.92,2020-01-31,2528,Shipped,Ships,S700_1138,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo,Pirkko,Medium,981-443655,66,90110
10385,25,77.34,1,1933.5,2020-02-28,2501,Shipped,Ships,S700_1138,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,66,97562
10396,39,66.67,1,2600.13,2020-03-23,2478,Shipped,Ships,S700_1138,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,66,97562
10414,37,71.34,6,2639.58,2020-05-06,2435,On Hold,Ships,S700_1138,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA,Yoshido,Juri,Small,6175559555,66,51003
10106,31,106.87,7,3312.97,2018-02-17,3245,Shipped,Planes,S700_1691,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Medium,035-640555,91,24100
10120,47,82.21,13,3863.87,2018-04-29,3175,Shipped,Planes,S700_1691,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium,03 9520 4555,91,3004
10133,24,77.64,8,1863.36,2018-06-27,3117,Shipped,Planes,S700_1691,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,91,28034
10143,36,109.61,2,3945.96,2018-08-10,3074,Shipped,Planes,S700_1691,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Medium,5085559555,91,50553
10156,48,103.21,2,4954.08,2018-10-08,3016,Shipped,Planes,S700_1691,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,91,28034
10168,28,98.65,14,2762.2,2018-10-28,2997,Shipped,Planes,S700_1691,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Small,6505556809,91,94217
10199,48,83.12,2,3989.76,2018-12-01,2964,Shipped,Planes,S700_1691,West Coast Collectables Co.,3675 Furth Circle,Burbank,USA,Thompson,Steve,Medium,3105553722,91,94019
10210,21,78.55,12,1649.55,2019-01-12,2923,Shipped,Planes,S700_1691,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary,Mory,Small,+81 06 6342 5555,91,530-0003
10223,25,101.39,14,2534.75,2019-02-20,2885,Shipped,Planes,S700_1691,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Small,03 9520 4555,91,3004
10235,25,103.21,8,2580.25,2019-04-02,2845,Shipped,Planes,S700_1691,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,Canada,Lincoln,Elizabeth,Small,(604) 555-4555,91,T2F 8M4
10250,31,91.34,9,2831.54,2019-05-11,2807,Shipped,Planes,S700_1691,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Small,4085553659,91,94217
10262,40,84.03,4,3361.2,2019-06-24,2764,Cancelled,Planes,S700_1691,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,91,28034
10275,32,89.51,14,2864.32,2019-07-23,2736,Shipped,Planes,S700_1691,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Small,40.67.8555,91,44000
10284,24,83.12,6,1994.88,2019-08-21,2708,Shipped,Planes,S700_1691,"Norway Gifts By Mail, Co.","Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,Klaeboe,Jan,Small,+47 2212 1555,91,N 0106
10296,42,102.3,2,4296.6,2019-09-15,2684,Shipped,Planes,S700_1691,"Bavarian Collectables Imports, Co.",Hansastr. 15,Munich,Germany,Donnermeyer,Michael,Medium,+49 89 61 08 9555,91,80686
10308,21,105.95,12,2224.95,2019-10-15,2655,Shipped,Planes,S700_1691,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick,Steve,Small,9145554562,91,24067
10316,34,82.21,4,2795.14,2019-11-01,2639,Shipped,Planes,S700_1691,giftsbymail.co.uk,Garden House Crowther Way,Cowes,UK,Bennett,Helen,Small,(198) 555-8888,91,PO31 7PJ
10328,27,102.3,8,2762.1,2019-11-12,2629,Shipped,Planes,S700_1691,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Small,035-640555,91,24100
10340,30,88.6,5,2658.0,2019-11-24,2618,Shipped,Planes,S700_1691,Enaco Distributors,"Rambla de Catalu¤a, 23",Barcelona,Spain,Saavedra,Eduardo,Small,(93) 203 4555,91,8022
10353,39,129.33,9,5043.87,2019-12-04,2609,Shipped,Planes,S700_1691,Gift Ideas Corp.,2440 Pompton St.,Glendale,USA,Lewis,Dan,Medium,2035554407,91,97561
10361,20,60.54,4,1210.8,2019-12-17,2597,Shipped,Planes,S700_1691,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Small,+61 2 9495 8555,91,2067
10375,37,81.87,6,3029.19,2020-02-03,2550,Shipped,Planes,S700_1691,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,40.67.8555,91,44000
10388,46,218.84,2,10066.6,2020-03-03,2522,Shipped,Planes,S700_1691,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez,Violeta,Large,5085552555,91,50553
10398,47,87.69,6,4121.43,2020-03-30,2496,Shipped,Planes,S700_1691,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Medium,26.47.1555,91,51100
10401,11,103.21,8,1135.31,2020-04-03,2493,On Hold,Planes,S700_1691,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown,William,Small,2015559350,91,94019
10416,23,91.34,9,2100.82,2020-05-10,2457,Shipped,Planes,S700_1691,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni,Maurizio,Small,0522-556555,91,42100
10105,29,70.15,12,2034.35,2018-02-11,3277,Shipped,Ships,S700_1938,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen,Jytte,Small,31 12 3555,86,1734
10117,38,79.68,6,3027.84,2018-04-16,3214,Shipped,Ships,S700_1938,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Medium,+65 221 7555,86,79903
10128,32,97.0,3,3104.0,2018-06-06,3164,Shipped,Ships,S700_1938,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,86,28034
10142,43,84.01,9,3612.43,2018-08-08,3102,Shipped,Ships,S700_1938,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,86,97562
10153,31,87.48,8,2711.88,2018-09-28,3052,Shipped,Ships,S700_1938,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,86,28034
10166,29,103.93,3,3013.97,2018-10-21,3030,Shipped,Ships,S700_1938,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez,Violeta,Medium,5085552555,86,50553
10177,31,88.34,10,2738.54,2018-11-07,3014,Shipped,Ships,S700_1938,CAF Imports,"Merchants House, 27-30 Merchant's Quay",Madrid,Spain,Fernandez,Jesus,Small,+34 913 728 555,86,28023
10185,30,94.4,10,2832.0,2018-11-14,3008,Shipped,Ships,S700_1938,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Small,5085559555,86,50553
10196,50,94.4,2,4720.0,2018-11-26,2997,Shipped,Ships,S700_1938,Super Scale Inc.,567 North Pendale Street,New Haven,USA,Murphy,Leslie,Medium,2035559545,86,97823
10208,40,80.55,10,3222.0,2019-01-02,2961,Shipped,Ships,S700_1938,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley,Mary,Medium,78.32.5555,86,69004
10221,23,97.0,4,2231.0,2019-02-18,2915,Shipped,Ships,S700_1938,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey,Catherine,Small,(02) 5554 67,86,B-1180
10232,26,88.34,7,2296.84,2019-03-20,2886,Shipped,Ships,S700_1938,giftsbymail.co.uk,Garden House Crowther Way,Cowes,UK,Bennett,Helen,Small,(198) 555-8888,86,PO31 7PJ
10248,40,103.93,13,4157.2,2019-05-07,2839,Cancelled,Ships,S700_1938,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium,2125557818,86,10022
10273,21,102.2,14,2146.2,2019-07-21,2765,Shipped,Ships,S700_1938,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey,Catherine,Small,(02) 5554 67,86,B-1180
10282,43,86.61,2,3724.23,2019-08-20,2736,Shipped,Ships,S700_1938,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,86,97562
10293,29,71.89,5,2084.81,2019-09-09,2717,Shipped,Ships,S700_1938,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti,Paolo,Small,011-4988555,86,10100
10306,38,91.81,10,3488.78,2019-10-14,2683,Shipped,Ships,S700_1938,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Medium,(171) 555-1555,86,EC2 5NT
10314,23,76.22,2,1753.06,2019-10-22,2676,Shipped,Ships,S700_1938,Heintze Collectables,Smagsloget 45,Aaarhus,Denmark,Ibsen,Palle,Small,86 21 3555,86,8200
10327,20,173.46,7,3469.2,2019-11-10,2658,Resolved,Ships,S700_1938,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen,Jytte,Medium,31 12 3555,86,1734
10337,36,70.3,9,2530.8,2019-11-21,2648,Shipped,Ships,S700_1938,Classic Legends Inc.,5905 Pompton St.,NYC,USA,Hernandez,Maria,Small,2125558493,86,10022
10350,28,104.44,4,2924.32,2019-12-02,2638,Shipped,Ships,S700_1938,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,86,28034
10372,44,102.2,2,4496.8,2020-01-26,2584,Shipped,Ships,S700_1938,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura,Akiko,Medium,+81 3 3584 0555,86,106-0032
10397,32,80.55,5,2577.6,2020-03-28,2523,Shipped,Ships,S700_1938,Alpha Cognac,1 rue Alsace-Lorraine,Toulouse,France,Roulet,Annette,Small,61.77.6555,86,31000
10414,34,103.93,13,3533.62,2020-05-06,2485,On Hold,Ships,S700_1938,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA,Yoshido,Juri,Medium,6175559555,86,51003
10106,30,105.91,16,3177.3,2018-02-17,3295,Shipped,Ships,S700_2047,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Medium,035-640555,90,24100
10119,29,94.14,7,2730.06,2018-04-28,3226,Shipped,Ships,S700_2047,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps,Georg,Small,6562-9555,90,5020
10131,22,85.99,8,1891.78,2018-06-16,3178,Shipped,Ships,S700_2047,Gift Ideas Corp.,2440 Pompton St.,Glendale,USA,Lewis,Dan,Small,2035554407,90,97561
10143,26,100.48,11,2612.48,2018-08-10,3124,Shipped,Ships,S700_2047,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Small,5085559555,90,50553
10155,32,91.43,9,2925.76,2018-10-06,3068,Shipped,Ships,S700_2047,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Small,90-224 8555,90,21240
10167,29,101.38,5,2940.02,2018-10-23,3052,Cancelled,Ships,S700_2047,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson,Maria,Small,0695-34 6555,90,S-844 67
10178,34,96.86,8,3293.24,2018-11-08,3037,Shipped,Ships,S700_2047,Alpha Cognac,1 rue Alsace-Lorraine,Toulouse,France,Roulet,Annette,Medium,61.77.6555,90,31000
10186,24,99.57,5,2389.68,2018-11-14,3032,Shipped,Ships,S700_2047,"Double Decker Gift Stores, Ltd",120 Hanover Sq.,London,UK,Hardy,Thomas,Small,(171) 555-7555,90,WA1 1DP
10197,24,90.52,2,2172.48,2018-11-26,3021,Shipped,Ships,S700_2047,Enaco Distributors,"Rambla de Catalu¤a, 23",Barcelona,Spain,Saavedra,Eduardo,Small,(93) 203 4555,90,8022
10222,26,102.29,8,2659.54,2019-02-19,2937,Shipped,Ships,S700_2047,Collectable Mini Designs Co.,361 Furth Circle,San Diego,USA,Thompson,Valarie,Small,7605558146,90,91217
10249,40,95.95,4,3838.0,2019-05-08,2860,Shipped,Ships,S700_2047,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,USA,Tseng,Kyung,Medium,6175555555,90,51247
10262,44,94.14,13,4142.16,2019-06-24,2814,Cancelled,Ships,S700_2047,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,90,28034
10274,24,90.52,5,2172.48,2019-07-21,2788,Shipped,Ships,S700_2047,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA,Nelson,Allen,Small,6175558555,90,58339
10283,20,94.14,2,1882.8,2019-08-20,2759,Shipped,Ships,S700_2047,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,Canada,Lincoln,Elizabeth,Small,(604) 555-4555,90,T2F 8M4
10296,34,102.29,11,3477.86,2019-09-15,2734,Shipped,Ships,S700_2047,"Bavarian Collectables Imports, Co.",Hansastr. 15,Munich,Germany,Donnermeyer,Michael,Medium,+49 89 61 08 9555,90,80686
10307,34,97.76,5,3323.84,2019-10-14,2706,Shipped,Ships,S700_2047,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes,Francisca,Medium,2155554695,90,71270
10316,45,93.24,13,4195.8,2019-11-01,2689,Shipped,Ships,S700_2047,giftsbymail.co.uk,Garden House Crowther Way,Cowes,UK,Bennett,Helen,Medium,(198) 555-8888,90,PO31 7PJ
10328,41,101.38,9,4156.58,2019-11-12,2679,Shipped,Ships,S700_2047,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Medium,035-640555,90,24100
10339,55,71.25,15,3918.75,2019-11-23,2669,Shipped,Ships,S700_2047,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura,Akiko,Medium,+81 3 3584 0555,90,106-0032
10352,23,102.29,3,2352.67,2019-12-03,2660,Shipped,Ships,S700_2047,Auto-Moto Classics Inc.,16780 Pompton St.,Brickhaven,USA,Taylor,Leslie,Small,6175558428,90,58339
10361,24,45.39,14,1089.36,2019-12-17,2647,Shipped,Ships,S700_2047,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Small,+61 2 9495 8555,90,2067
10373,32,84.41,15,2701.12,2020-01-31,2603,Shipped,Ships,S700_2047,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo,Pirkko,Small,981-443655,90,90110
10386,29,85.76,13,2487.04,2020-03-01,2574,Resolved,Ships,S700_2047,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,90,28034
10398,36,108.62,7,3910.32,2020-03-30,2546,Shipped,Ships,S700_2047,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Medium,26.47.1555,90,51100
10400,46,87.8,5,4038.8,2020-04-01,2545,Shipped,Ships,S700_2047,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Medium,4085553659,90,94217
10415,32,95.95,4,3070.4,2020-05-09,2508,Disputed,Ships,S700_2047,"Australian Collectables, Ltd",7 Allen Street,Glen Waverly,Australia,Connery,Sean,Medium,61-9-3844-6555,90,3150
10106,34,110.69,9,3763.46,2018-02-17,3321,Shipped,Planes,S700_2466,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Medium,035-640555,99,24100
10120,24,107.7,15,2584.8,2018-04-29,3251,Shipped,Planes,S700_2466,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Small,03 9520 4555,99,3004
10131,40,110.69,1,4427.6,2018-06-16,3204,Shipped,Planes,S700_2466,Gift Ideas Corp.,2440 Pompton St.,Glendale,USA,Lewis,Dan,Medium,2035554407,99,97561
10143,26,82.77,4,2152.02,2018-08-10,3150,Shipped,Planes,S700_2466,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Small,5085559555,99,50553
10155,20,117.67,2,2353.4,2018-10-06,3094,Shipped,Planes,S700_2466,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Small,90-224 8555,99,21240
10168,31,110.69,16,3431.39,2018-10-28,3073,Shipped,Planes,S700_2466,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Medium,6505556809,99,94217
10178,22,87.75,1,1930.5,2018-11-08,3063,Shipped,Planes,S700_2466,Alpha Cognac,1 rue Alsace-Lorraine,Toulouse,France,Roulet,Annette,Small,61.77.6555,99,31000
10198,42,113.68,1,4774.56,2018-11-27,3045,Shipped,Planes,S700_2466,Cruz & Sons Co.,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,Cruz,Arnold,Medium,+63 2 555 3587,99,1227 MM
10210,26,99.72,14,2592.72,2019-01-12,3000,Shipped,Planes,S700_2466,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary,Mory,Small,+81 06 6342 5555,99,530-0003
10222,37,87.75,1,3246.75,2019-02-19,2963,Shipped,Planes,S700_2466,Collectable Mini Designs Co.,361 Furth Circle,San Diego,USA,Thompson,Valarie,Medium,7605558146,99,91217
10235,38,88.75,10,3372.5,2019-04-02,2922,Shipped,Planes,S700_2466,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,Canada,Lincoln,Elizabeth,Medium,(604) 555-4555,99,T2F 8M4
10250,35,111.69,11,3909.15,2019-05-11,2884,Shipped,Planes,S700_2466,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Medium,4085553659,99,94217
10262,33,90.75,6,2994.75,2019-06-24,2841,Cancelled,Planes,S700_2466,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,99,28034
10275,39,114.68,16,4472.52,2019-07-23,2813,Shipped,Planes,S700_2466,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,40.67.8555,99,44000
10284,45,101.71,8,4576.95,2019-08-21,2785,Shipped,Planes,S700_2466,"Norway Gifts By Mail, Co.","Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,Klaeboe,Jan,Medium,+47 2212 1555,99,N 0106
10296,24,101.71,4,2441.04,2019-09-15,2761,Shipped,Planes,S700_2466,"Bavarian Collectables Imports, Co.",Hansastr. 15,Munich,Germany,Donnermeyer,Michael,Small,+49 89 61 08 9555,99,80686
10308,35,88.75,14,3106.25,2019-10-15,2732,Shipped,Planes,S700_2466,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick,Steve,Medium,9145554562,99,24067
10316,23,117.67,6,2706.41,2019-11-01,2716,Shipped,Planes,S700_2466,giftsbymail.co.uk,Garden House Crowther Way,Cowes,UK,Bennett,Helen,Small,(198) 555-8888,99,PO31 7PJ
10328,37,108.69,10,4021.53,2019-11-12,2706,Shipped,Planes,S700_2466,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Medium,035-640555,99,24100
10340,55,87.75,7,4826.25,2019-11-24,2695,Shipped,Planes,S700_2466,Enaco Distributors,"Rambla de Catalu¤a, 23",Barcelona,Spain,Saavedra,Eduardo,Medium,(93) 203 4555,99,8022
10352,49,100.72,2,4935.28,2019-12-03,2687,Shipped,Planes,S700_2466,Auto-Moto Classics Inc.,16780 Pompton St.,Brickhaven,USA,Taylor,Leslie,Medium,6175558428,99,58339
10361,26,105.95,9,2754.7,2019-12-17,2674,Shipped,Planes,S700_2466,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Small,+61 2 9495 8555,99,2067
10375,33,116.87,1,3856.71,2020-02-03,2627,Shipped,Planes,S700_2466,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,40.67.8555,99,44000
10386,37,83.84,14,3102.08,2020-03-01,2601,Resolved,Planes,S700_2466,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,99,28034
10398,22,86.76,8,1908.72,2020-03-30,2573,Shipped,Planes,S700_2466,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Small,26.47.1555,99,51100
10401,85,88.75,10,7543.75,2020-04-03,2570,On Hold,Planes,S700_2466,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown,William,Large,2015559350,99,94019
10416,22,111.69,11,2457.18,2020-05-10,2534,Shipped,Planes,S700_2466,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni,Maurizio,Small,0522-556555,99,42100
10105,31,65.77,3,2038.87,2018-02-11,3354,Shipped,Ships,S700_2610,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen,Jytte,Small,31 12 3555,72,1734
10119,38,65.77,12,2499.26,2018-04-28,3279,Shipped,Ships,S700_2610,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps,Georg,Small,6562-9555,72,5020
10129,45,85.29,3,3838.05,2018-06-12,3235,Shipped,Ships,S700_2610,"Stylish Desk Decors, Co.",35 King George,London,UK,Brown,Ann,Medium,(171) 555-0297,72,WX3 6FW
