ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,ADDRESSLINE1,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PHONE,MSRP
10110,43,78.15,11,3360.45,2018-03-18,2441,Shipped,Classic Cars,S24_2766,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Medium,(171) 555-1555,90
10124,32,72.7,10,2326.4,2018-05-21,2378,Shipped,Classic Cars,S24_2766,Signal Gift Stores,8489 Strong St.,Las Vegas,USA,King,Sue,Small,7025551838,90
10148,21,73.6,4,1545.6,2018-09-11,2266,Shipped,Classic Cars,S24_2766,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara,Anna,Small,02 9936 8555,90
10161,20,107.23,3,2144.6,2018-10-17,2231,Shipped,Classic Cars,S24_2766,Heintze Collectables,Smagsloget 45,Aaarhus,Denmark,Ibsen,Palle,Small,86 21 3555,90
10172,22,74.51,1,1639.22,2018-11-05,2213,Shipped,Classic Cars,S24_2766,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King,Julie,Small,2035552570,90
10182,36,73.6,14,2649.6,2018-11-12,2207,Shipped,Classic Cars,S24_2766,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,90
10192,46,83.6,2,3845.6,2018-11-20,2200,Shipped,Classic Cars,S24_2766,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Medium,6035558647,90
10204,47,96.32,8,4527.04,2018-12-02,2189,Shipped,Classic Cars,S24_2766,Muscle Machine Inc,4092 Furth Circle,NYC,USA,Young,Jeff,Medium,2125557413,90
10212,45,88.14,1,3966.3,2019-01-16,2145,Shipped,Classic Cars,S24_2766,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,90
10227,47,88.14,14,4142.58,2019-03-02,2101,Shipped,Classic Cars,S24_2766,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley,Mary,Medium,78.32.5555,90
10241,47,94.5,6,4441.5,2019-04-13,2060,Shipped,Classic Cars,S24_2766,Mini Caravy,"24, place Kluber",Strasbourg,France,Citeaux,Frederique,Medium,88.60.1555,90
10267,38,87.24,3,3315.12,2019-07-07,1976,Shipped,Classic Cars,S24_2766,Muscle Machine Inc,4092 Furth Circle,NYC,USA,Young,Jeff,Medium,2125557413,90
10279,49,79.97,3,3918.53,2019-08-09,1944,Shipped,Classic Cars,S24_2766,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,90
10288,35,80.87,9,2830.45,2019-09-01,1922,Shipped,Classic Cars,S24_2766,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino,Wendy,Small,+65 224 1555,90
10302,49,108.14,5,5298.86,2018-10-06,2253,Shipped,Classic Cars,S24_2766,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon,Elizabeth,Medium,(171) 555-2282,90
10311,28,93.6,4,2620.8,2019-10-16,1879,Shipped,Classic Cars,S24_2766,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,90
10321,30,72.7,1,2181.0,2019-11-04,1861,Shipped,Classic Cars,S24_2766,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez,Violeta,Small,5085552555,90
10332,39,86.72,7,3382.08,2019-11-17,1849,Shipped,Classic Cars,S24_2766,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Medium,(171) 555-1555,90
10346,25,115.07,1,2876.75,2019-11-29,1838,Shipped,Classic Cars,S24_2766,Signal Gift Stores,8489 Strong St.,Las Vegas,USA,King,Sue,Small,7025551838,90
10368,40,102.68,2,4107.2,2020-01-19,1788,Shipped,Classic Cars,S24_2766,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,90
10380,36,37.5,6,1350.0,2020-02-16,1761,Shipped,Classic Cars,S24_2766,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,90
10407,76,94.5,6,7182.0,2020-04-22,1696,On Hold,Classic Cars,S24_2766,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Large,4085553659,90
10420,39,100.87,9,3933.93,2020-05-29,1660,In Process,Classic Cars,S24_2766,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Medium,+61 2 9495 8555,90
10104,44,39.6,10,1742.4,2018-01-31,2510,Shipped,Classic Cars,S24_2840,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,35
10114,24,30.06,1,721.44,2018-04-01,2451,Shipped,Classic Cars,S24_2840,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,France,Bertrand,Marie,Small,(1) 42.34.2555,35
10127,39,38.19,12,1489.41,2018-06-03,2389,Shipped,Classic Cars,S24_2840,Muscle Machine Inc,4092 Furth Circle,NYC,USA,Young,Jeff,Small,2125557413,35
10141,21,42.43,6,891.03,2018-08-01,2331,Shipped,Classic Cars,S24_2840,Suominen Souveniers,"Software Engineering Center, SEC Oy",Espoo,Finland,Suominen,Kalle,Small,+358 9 8045 555,35
10151,30,40.31,4,1209.3,2018-09-21,2281,Shipped,Classic Cars,S24_2840,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo,Pirkko,Small,981-443655,35
10165,27,31.82,13,859.14,2018-10-22,2251,Shipped,Classic Cars,S24_2840,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Small,+65 221 7555,35
10175,37,31.12,2,1151.44,2018-11-06,2237,Shipped,Classic Cars,S24_2840,"Stylish Desk Decors, Co.",35 King George,London,UK,Brown,Ann,Small,(171) 555-0297,35
10184,42,31.82,7,1336.44,2018-11-14,2230,Shipped,Classic Cars,S24_2840,"Iberia Gift Imports, Corp.","C/ Romero, 33",Sevilla,Spain,Roel,Jose Pedro,Small,(95) 555 82 82,35
10195,32,28.29,7,905.28,2018-11-25,2220,Shipped,Classic Cars,S24_2840,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick,Steve,Small,9145554562,35
10207,42,29.7,8,1247.4,2018-12-09,2207,Shipped,Classic Cars,S24_2840,Diecast Collectables,6251 Ingle Ln.,Boston,USA,Franco,Valarie,Small,6175552555,35
10219,21,40.31,3,846.51,2019-02-10,2145,Shipped,Classic Cars,S24_2840,Signal Collectibles Ltd.,2793 Furth Circle,Brisbane,USA,Taylor,Sue,Small,4155554312,35
10229,33,32.88,2,1085.04,2019-03-11,2117,Shipped,Classic Cars,S24_2840,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,35
10246,49,36.07,6,1767.43,2019-05-05,2063,Shipped,Classic Cars,S24_2840,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,35
10259,31,33.24,5,1030.44,2019-06-15,2023,Shipped,Classic Cars,S24_2840,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino,Wendy,Small,+65 224 1555,35
10271,38,41.72,6,1585.36,2019-07-20,1989,Shipped,Classic Cars,S24_2840,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,35
10281,20,40.66,2,813.2,2019-08-19,1960,Shipped,Classic Cars,S24_2840,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu,Kyung,Small,2155551555,35
10292,39,30.06,9,1172.34,2019-09-08,1941,Shipped,Classic Cars,S24_2840,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Small,2125557818,35
10305,48,31.47,6,1510.56,2019-10-13,1907,Shipped,Classic Cars,S24_2840,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Small,6175558555,35
10314,39,37.13,15,1448.07,2019-10-22,1899,Shipped,Classic Cars,S24_2840,Heintze Collectables,Smagsloget 45,Aaarhus,Denmark,Ibsen,Palle,Small,86 21 3555,35
10324,30,111.27,9,3338.1,2019-11-05,1886,Shipped,Classic Cars,S24_2840,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA,Frick,Michael,Medium,2125551500,35
10335,33,37.13,2,1225.29,2019-11-19,1873,Shipped,Classic Cars,S24_2840,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,35
10349,36,37.13,3,1336.68,2019-12-01,1862,Shipped,Classic Cars,S24_2840,Muscle Machine Inc,4092 Furth Circle,NYC,USA,Young,Jeff,Small,2125557413,35
10358,36,82.94,4,2985.84,2019-12-10,1854,Shipped,Classic Cars,S24_2840,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,35
10371,45,123.24,8,5545.8,2020-01-23,1811,Shipped,Classic Cars,S24_2840,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,35
10383,40,152.24,3,6089.6,2020-02-22,1782,Shipped,Classic Cars,S24_2840,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,35
10394,46,38.9,6,1789.4,2020-03-15,1761,Shipped,Classic Cars,S24_2840,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,35
10412,30,36.07,6,1082.1,2020-05-03,1713,Shipped,Classic Cars,S24_2840,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,35
10425,31,33.24,5,1030.44,2020-05-31,1686,In Process,Classic Cars,S24_2840,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Small,40.67.8555,35
10106,49,74.68,13,3659.32,2018-02-17,2521,Shipped,Planes,S24_2841,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Medium,035-640555,68
10119,41,59.6,4,2443.6,2018-04-28,2452,Shipped,Planes,S24_2841,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps,Georg,Small,6562-9555,68
10131,35,67.14,5,2349.9,2018-06-16,2404,Shipped,Planes,S24_2841,Gift Ideas Corp.,2440 Pompton St.,Glendale,USA,Lewis,Dan,Small,2035554407,68
10143,27,60.97,8,1646.19,2018-08-10,2350,Shipped,Planes,S24_2841,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Small,5085559555,68
10155,23,72.62,6,1670.26,2018-10-06,2294,Shipped,Planes,S24_2841,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Small,90-224 8555,68
10167,21,69.88,2,1467.48,2018-10-23,2278,Cancelled,Planes,S24_2841,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson,Maria,Small,0695-34 6555,68
10178,34,80.84,5,2748.56,2018-11-08,2263,Shipped,Planes,S24_2841,Alpha Cognac,1 rue Alsace-Lorraine,Toulouse,France,Roulet,Annette,Small,61.77.6555,68
10186,22,69.2,2,1522.4,2018-11-14,2258,Shipped,Planes,S24_2841,"Double Decker Gift Stores, Ltd",120 Hanover Sq.,London,UK,Hardy,Thomas,Small,(171) 555-7555,68
10198,48,67.82,5,3255.36,2018-11-27,2246,Shipped,Planes,S24_2841,Cruz & Sons Co.,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,Cruz,Arnold,Medium,+63 2 555 3587,68
10222,32,81.53,5,2608.96,2019-02-19,2163,Shipped,Planes,S24_2841,Collectable Mini Designs Co.,361 Furth Circle,San Diego,USA,Thompson,Valarie,Small,7605558146,68
10249,20,67.82,1,1356.4,2019-05-08,2086,Shipped,Planes,S24_2841,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,USA,Tseng,Kyung,Small,6175555555,68
10262,24,67.14,10,1611.36,2019-06-24,2040,Cancelled,Planes,S24_2841,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,68
10274,40,65.08,2,2603.2,2019-07-21,2014,Shipped,Planes,S24_2841,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA,Nelson,Allen,Small,6175558555,68
10284,30,73.99,12,2219.7,2019-08-21,1984,Shipped,Planes,S24_2841,"Norway Gifts By Mail, Co.","Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,Klaeboe,Jan,Small,+47 2212 1555,68
10296,21,71.25,8,1496.25,2019-09-15,1960,Shipped,Planes,S24_2841,"Bavarian Collectables Imports, Co.",Hansastr. 15,Munich,Germany,Donnermeyer,Michael,Small,+49 89 61 08 9555,68
10307,25,75.36,2,1884.0,2019-10-14,1932,Shipped,Planes,S24_2841,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes,Francisca,Small,2155554695,68
10316,34,63.71,10,2166.14,2019-11-01,1915,Shipped,Planes,S24_2841,giftsbymail.co.uk,Garden House Crowther Way,Cowes,UK,Bennett,Helen,Small,(198) 555-8888,68
10328,48,58.92,1,2828.16,2019-11-12,1905,Shipped,Planes,S24_2841,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Small,035-640555,68
10339,55,112.99,12,6214.45,2019-11-23,1895,Shipped,Planes,S24_2841,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura,Akiko,Medium,+81 3 3584 0555,68
10351,25,74.68,5,1867.0,2019-12-03,1886,Shipped,Planes,S24_2841,"Stylish Desk Decors, Co.",35 King George,London,UK,Brown,Ann,Small,(171) 555-0297,68
10373,38,70.44,7,2676.72,2020-01-31,1828,Shipped,Planes,S24_2841,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo,Pirkko,Small,981-443655,68
10386,39,55.96,1,2182.44,2020-03-01,1799,Resolved,Planes,S24_2841,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,68
10398,28,57.55,3,1611.4,2020-03-30,1771,Shipped,Planes,S24_2841,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Small,26.47.1555,68
10400,24,61.66,2,1479.84,2020-04-01,1770,Shipped,Planes,S24_2841,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Small,4085553659,68
10415,21,67.82,1,1424.22,2020-05-09,1733,Disputed,Planes,S24_2841,"Australian Collectables, Ltd",7 Allen Street,Glen Waverly,Australia,Connery,Sean,Small,61-9-3844-6555,68
10110,46,129.18,10,5942.28,2018-03-18,2517,Shipped,Classic Cars,S24_2887,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Medium,(171) 555-1555,117
10124,25,93.95,9,2348.75,2018-05-21,2454,Shipped,Classic Cars,S24_2887,Signal Gift Stores,8489 Strong St.,Las Vegas,USA,King,Sue,Small,7025551838,117
10148,34,129.18,3,4392.12,2018-09-11,2342,Shipped,Classic Cars,S24_2887,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara,Anna,Medium,02 9936 8555,117
10161,25,110.39,2,2759.75,2018-10-17,2307,Shipped,Classic Cars,S24_2887,Heintze Collectables,Smagsloget 45,Aaarhus,Denmark,Ibsen,Palle,Small,86 21 3555,117
10173,23,118.61,16,2728.03,2018-11-05,2289,Shipped,Classic Cars,S24_2887,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Small,035-640555,117
10182,20,119.79,13,2395.8,2018-11-12,2283,Shipped,Classic Cars,S24_2887,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,117
10192,23,132.71,1,3052.33,2018-11-20,2276,Shipped,Classic Cars,S24_2887,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Medium,6035558647,117
10204,42,101.0,7,4242.0,2018-12-02,2265,Shipped,Classic Cars,S24_2887,Muscle Machine Inc,4092 Furth Circle,NYC,USA,Young,Jeff,Medium,2125557413,117
10213,27,103.35,3,2790.45,2019-01-22,2215,Shipped,Classic Cars,S24_2887,"Double Decker Gift Stores, Ltd",120 Hanover Sq.,London,UK,Hardy,Thomas,Small,(171) 555-7555,117
10227,33,131.53,13,4340.49,2019-03-02,2177,Shipped,Classic Cars,S24_2887,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley,Mary,Medium,78.32.5555,117
10241,28,98.65,5,2762.2,2019-04-13,2136,Shipped,Classic Cars,S24_2887,Mini Caravy,"24, place Kluber",Strasbourg,France,Citeaux,Frederique,Small,88.60.1555,117
10267,43,108.04,2,4645.72,2019-07-07,2052,Shipped,Classic Cars,S24_2887,Muscle Machine Inc,4092 Furth Circle,NYC,USA,Young,Jeff,Medium,2125557413,117
10279,48,116.27,2,5580.96,2019-08-09,2020,Shipped,Classic Cars,S24_2887,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,117
10288,48,136.23,8,6539.04,2019-09-01,1998,Shipped,Classic Cars,S24_2887,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino,Wendy,Medium,+65 224 1555,117
10302,45,123.31,4,5548.95,2018-10-06,2329,Shipped,Classic Cars,S24_2887,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon,Elizabeth,Medium,(171) 555-2282,117
10311,43,106.87,3,4595.41,2019-10-16,1955,Shipped,Classic Cars,S24_2887,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,117
10332,44,42.26,11,1859.44,2019-11-17,1924,Shipped,Classic Cars,S24_2887,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Small,(171) 555-1555,117
10346,24,87.24,5,2093.76,2019-11-29,1913,Shipped,Classic Cars,S24_2887,Signal Gift Stores,8489 Strong St.,Las Vegas,USA,King,Sue,Small,7025551838,117
10368,31,136.23,5,4223.13,2020-01-19,1863,Shipped,Classic Cars,S24_2887,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,117
10380,44,36.29,7,1596.76,2020-02-16,1836,Shipped,Classic Cars,S24_2887,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,117
10407,59,98.65,5,5820.35,2020-04-22,1771,On Hold,Classic Cars,S24_2887,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Medium,4085553659,117
10420,55,96.3,8,5296.5,2020-05-29,1735,In Process,Classic Cars,S24_2887,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Medium,+61 2 9495 8555,117
10109,29,32.1,6,930.9,2018-03-10,2547,Shipped,Classic Cars,S24_2972,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez,Rosa,Small,2155559857,37
10122,39,30.96,4,1207.44,2018-05-08,2489,Shipped,Classic Cars,S24_2972,Marseille Mini Autos,"12, rue des Bouchers",Marseille,France,Lebihan,Laurence,Small,91.24.4555,37
10135,20,35.87,1,717.4,2018-07-02,2435,Shipped,Classic Cars,S24_2972,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,37
10147,25,42.67,1,1066.75,2018-09-05,2371,Shipped,Classic Cars,S24_2972,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA,Nelson,Allen,Small,6175558555,37
10171,36,35.49,4,1277.64,2018-11-05,2311,Shipped,Classic Cars,S24_2972,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada,Fresnisre,Jean,Small,(514) 555-8054,37
10181,37,42.67,8,1578.79,2018-11-12,2305,Shipped,Classic Cars,S24_2972,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Small,+47 2267 3215,37
10192,30,30.59,13,917.7,2018-11-20,2298,Shipped,Classic Cars,S24_2972,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Small,6035558647,37
10203,21,37.0,2,777.0,2018-12-02,2287,Shipped,Classic Cars,S24_2972,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,37
10212,34,43.42,12,1476.28,2019-01-16,2243,Shipped,Classic Cars,S24_2972,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,37
10225,42,36.63,3,1538.46,2019-02-22,2207,Shipped,Classic Cars,S24_2972,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,Switzerland,Holz,Michael,Small,0897-034555,37
10239,20,44.56,2,891.2,2019-04-12,2159,Shipped,Classic Cars,S24_2972,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo,Pirkko,Small,981-443655,37
10253,40,42.67,7,1706.8,2019-06-01,2110,Cancelled,Classic Cars,S24_2972,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon,Elizabeth,Small,(171) 555-2282,37
10266,34,40.4,8,1373.6,2019-07-06,2076,Shipped,Classic Cars,S24_2972,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni,Maurizio,Small,0522-556555,37
10278,31,38.89,8,1205.59,2019-08-06,2046,Shipped,Classic Cars,S24_2972,Signal Gift Stores,8489 Strong St.,Las Vegas,USA,King,Sue,Small,7025551838,37
10287,36,39.65,6,1427.4,2019-08-30,2023,Shipped,Classic Cars,S24_2972,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,Switzerland,Holz,Michael,Small,0897-034555,37
10301,48,34.36,10,1649.28,2018-10-05,2353,Shipped,Classic Cars,S24_2972,"Norway Gifts By Mail, Co.","Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,Klaeboe,Jan,Small,+47 2212 1555,37
10310,33,41.91,4,1383.03,2019-10-16,1978,Shipped,Classic Cars,S24_2972,"Toms Spezialitten, Ltd",Mehrheimerstr. 369,Koln,Germany,Pfalzheim,Henriette,Small,0221-5554327,37
10321,37,33.23,12,1229.51,2019-11-04,1960,Shipped,Classic Cars,S24_2972,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez,Violeta,Small,5085552555,37
10331,27,42.24,13,1140.48,2019-11-17,1948,Shipped,Classic Cars,S24_2972,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez,Rosa,Small,2155559857,37
10342,39,40.4,9,1575.6,2019-11-24,1942,Shipped,Classic Cars,S24_2972,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Small,03 9520 4555,37
10355,36,38.52,4,1386.72,2019-12-07,1930,Shipped,Classic Cars,S24_2972,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,37
10367,36,139.4,2,5018.4,2020-01-12,1895,Resolved,Classic Cars,S24_2972,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Medium,6265557265,37
10378,41,142.85,7,5856.85,2020-02-10,1867,Shipped,Classic Cars,S24_2972,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,37
10390,37,132.29,5,4894.73,2020-03-04,1845,Shipped,Classic Cars,S24_2972,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,37
10405,47,44.56,2,2094.32,2020-04-14,1805,Shipped,Classic Cars,S24_2972,Mini Caravy,"24, place Kluber",Strasbourg,France,Citeaux,Frederique,Small,88.60.1555,37
10419,15,42.67,7,640.05,2020-05-17,1773,Shipped,Classic Cars,S24_2972,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps,Georg,Small,6562-9555,37
10105,44,72.58,4,3193.52,2018-02-11,2600,Shipped,Vintage Cars,S24_3151,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen,Jytte,Medium,31 12 3555,88
10119,35,87.62,13,3066.7,2018-04-28,2525,Shipped,Vintage Cars,S24_3151,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps,Georg,Medium,6562-9555,88
10129,41,94.71,4,3883.11,2018-06-12,2481,Shipped,Vintage Cars,S24_3151,"Stylish Desk Decors, Co.",35 King George,London,UK,Brown,Ann,Medium,(171) 555-0297,88
10142,49,98.25,1,4814.25,2018-08-08,2425,Shipped,Vintage Cars,S24_3151,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,88
10154,31,91.17,2,2826.27,2018-10-02,2371,Shipped,Vintage Cars,S24_3151,Boards & Toys Co.,4097 Douglas Av.,Glendale,USA,Young,Leslie,Small,3105552373,88
10167,20,79.66,11,1593.2,2018-10-23,2351,Cancelled,Vintage Cars,S24_3151,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson,Maria,Small,0695-34 6555,88
10177,45,72.58,2,3266.1,2018-11-07,2337,Shipped,Vintage Cars,S24_3151,CAF Imports,"Merchants House, 27-30 Merchant's Quay",Madrid,Spain,Fernandez,Jesus,Medium,+34 913 728 555,88
10185,33,74.35,2,2453.55,2018-11-14,2331,Shipped,Vintage Cars,S24_3151,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Small,5085559555,88
10197,47,83.2,8,3910.4,2018-11-26,2320,Shipped,Vintage Cars,S24_3151,Enaco Distributors,"Rambla de Catalu¤a, 23",Barcelona,Spain,Saavedra,Eduardo,Medium,(93) 203 4555,88
10208,20,89.4,2,1788.0,2019-01-02,2284,Shipped,Vintage Cars,S24_3151,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley,Mary,Small,78.32.5555,88
10222,47,70.81,14,3328.07,2019-02-19,2237,Shipped,Vintage Cars,S24_3151,Collectable Mini Designs Co.,361 Furth Circle,San Diego,USA,Thompson,Valarie,Medium,7605558146,88
10233,40,94.71,2,3788.4,2019-03-29,2200,Shipped,Vintage Cars,S24_3151,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown,William,Medium,2015559350,88
10248,30,101.79,5,3053.7,2019-05-07,2162,Cancelled,Vintage Cars,S24_3151,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium,2125557818,88
10261,22,91.17,3,2005.74,2019-06-17,2122,Shipped,Vintage Cars,S24_3151,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada,Fresnisre,Jean,Small,(514) 555-8054,88
10273,27,103.56,6,2796.12,2019-07-21,2089,Shipped,Vintage Cars,S24_3151,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey,Catherine,Small,(02) 5554 67,88
